t,facing,left,righ,,,
TO Unison mill turning left,,,,,,
0,0,C a up,C a up,,,
1,0,C a down,C a down,,,
2,0,L b up,R b up,,,
3,0,L b down,R b down,,,
4,0,C b up,C a up,Turn happens between 4 and 5. As the right hand crosses to plane side b turn completes. ,,
5,180,C b down,C b down,,,
6,180,C b up,C b up,,,
7,180,L a down,R a down,,,
8,180,L a up,R a up,,,
,,,,,,
TO counter mill turn left,,,,,,
0,0,L b up,C a up,,,
1,0,L b down,C a down,,,
2,0,C a up,R b up,,,
3,0,C a down,R b down,,,
4,0,L b up,C a up,Turn happens between 4 and 5. As the right hand crosses to plane side b turn completes. Left hand can go straight back to low native,,
5,180,L a down,C b down,,,
6,180,L a up,C b up,,,
7,180,C b down,R a down,,,
8,180,C b up,R a up,,,
,,,,,,
SO chasing mill turn left,,,,,,
0,0,C a up,C a down,,,
1,0,C a down,R b up,,,
2,0,L b up,R b down,,,
3,0,L b down,C a up,,,
4,0,C a up,C a down,,,
5,0,C a down,R b up,,,
6,0,L b up,R b down,,,
7,0,C b down,C a up,"The turn happens through this node, when both poi are pointing outwards (body left) ie turn happens between 7 / 8",,
8,180,C b up,C b down,,,
9,180,L a down,C b up,,,
10,180,L a up,R a down,,,
11,180,C b down,R a up,,,
12,180,C b up,C b down,,,
,,,,,,
SO chasing mill other offset turn left,,,,,,
0,0,C a up,R b down,,,
1,0,C a down,C a up,,,
2,0,L b up,C a down,,,
3,0,L b down,R b up,,,
4,0,C a up,R b down,,,
5,0,C a down,C a up,The turn happens through 5 / 6 midpoint being when both poi are pointing towards world left ,,
6,180,L b up,R a down,,,
7,180,C b down,R a up,,,
8,180,C b up,C b down,,,
9,180,L b down,C b up,,,
10,180,L b up,R b down,,,
11,180,C b down,R b up,,,
12,180,C b up,C b down,,,
