
t,facing,Hand movements,,
"Right hand, inwards",,,,
0,0,C a up,,
1,0,C a down,,
2,0,R b up,,
3,0,R b down,,
,,,,
"Right hand, outwards, facing away",,,,
0,180,C b down,,
1,180,C b up,,
2,180,R a down,,
3,180,R a up,,
,,,,
"Right hand, low native, inwards, turning left, crosses",,,,
0,0,C a up,,
1,0,C a down,,
2,0,R b up,,
3,0,R b down,,
4,0,C a up,,
5,180,C b down,,
6,180,C b up,,
7,180,R a down,,
8,180,R a up,,
,,,,
"Right hand, low native, inwards, turning left, holds plane side a ",,,,
0,0,C a up,,
1,0,C a down,,
2,0,R b up,,
3,0,R b down,,
4,0,C a up,,
5,180,R a down,,
6,180,R a up,,
7,180,C b down,,
8,180,C b up,,
,,,,
"Right hand, low native, inwards, turning right, holds plane side b",,,,
0,0,C a up,,
1,0,C a down,,
2,0,R b up,,
3,0,R b down,,
4,180,C b up,,
5,180,R a down,,
6,180,R a up,,
7,180,C b down,,
,,,,
"Right hand, low native, inwards, turning right, turns through cross point",,,,
1,0,C a up,,
2,0,C a down,,
3,0,R b up,,
4,0,R b down,,
5,0,C a up,,
6,0,C a down,,
7,180,C b up,,
8,180,R a down,,
9,180,R a up,,
10,180,C b down,,
,,,,
"Right hand, low non native, inwards, turning left, turns through cross point",,,,
1,0,C a down,,
2,0,C a up,,
3,0,L b down,,
4,0,L b up,,
5,0,C a down,,
6,0,C a up,,
7,180,C b down,,
8,180,L a up,,
9,180,L a down,,
10,180,C b up,,
,,,,
"Right hand, low non native, inwards, turning left, turns through plane hold",,,,
1,0,C a down,,
2,0,C a up,,
3,0,L b down,,
4,0,L b up,,
5,0,C a down,,
6,0,C a up,,
7,0,L b down,,
8,180,C b up,,
9,180,C b down,,
10,180,L a up,,
11,180,L a down,,
,,,,
"Right hand, low non native, inwards, turning right, through cross point",,,,
1,0,C a down,,
2,0,C a up,,
3,0,L b down,,
4,0,L b up,,
5,0,C a down,,
6,180,C b up,,
7,180,C b down,,
8,180,L a up,,
9,180,L a down,,
,,,,
"Right hand, low non native, inwards, turning right, hold plane side a",,,,
1,0,C a down,,
2,0,C a up,,
3,0,L b down,,
4,0,L b up,,
5,0,C a down,,
6,180,L a up,,
7,180,L a down,,
8,180,C b up,,
9,180,C b down,,
,,,,
"Right hand, low back, inwards, turning right, turns through cross point",(Cb / Lb mean centre back / left low back),,,
1,0,Cb b down,,
2,0,Cb b up,,
3,0,Lb a down,,
4,0,Lb a up,,
5,0,Cb b down,,
6,180,Cb a up,,
7,180,Cb a down,,
8,180,Lb b up,,
9,180,Lb b down,,
,,,,
"Right hand, low back, inwards, turning right, turns holding",,,,
1,0,Cb b down,,
2,0,Cb b up,,
3,0,Lb a down,,
4,0,Lb a up,,
5,0,Cb b down,,
6,180,Lb b up,,
7,180,Lb b down,,
8,180,Cb a up,,
9,180,Cb a down,,
,,,,
"Right hand, low back, inwards, turning left, hold plane side a",,,,
1,0,Cb b down,,
2,0,Cb b up,,
3,0,Lb a down,,
4,0,Lb a up,,
5,180,Cb a down,,
6,180,Lb b up,,
7,180,Lb b down,,
8,180,Cb a up,,
9,180,Cb a down,,
,,,,
"Right hand, low back, inwards, turning left, crossing ",,,,
1,0,Cb b down,,
2,0,Cb b up,,
3,0,Lb a down,,
4,180,Lb b up,,
5,180,Lb b down,,
6,180,Cb a up,,
7,180,Cb a down,,
