TOGETHER-OPPOSITE LOW-NON-NATIVE TURN-LEFT CASES — CANDIDATES,,,,
Status,UNVERIFIED — physically test and correct every bridge.,,,
Assumptions,Low non-native; start inward at facing 0; finish outward at facing 180; turn left over one halfbeat; timing never pauses.,,,
Scope,"Because the hands occupy opposite body sides, the proposed turn-left setup is A/B by hand columns: left on body-right A, right on body-left B.",,,
Hypothesis,Lower-confidence topology hypothesis: swap which hand performs the preparation while retaining unison/counter timing.,,,
,,,,
Unison reference,,C a down,C a down,Facing 180 reference: C b up / C b up.
Counter reference,,C a down,L b down,Facing 180 reference: R a up / C b up.
,,,,
t,facing,left,right,Body edge
"TO non-native unison → unison, turn left — left crosses A→B / right prepares and holds B",,,,
0,0,C a up,C a up,
1,0,R b down,L b down,
2,0,R b up,L b up,
3,0,C a down,C a down,
4,0,C a up,C a up,
5,0,R b down,L b down,
6,0,R b up,L b up,
7,0,C a down,L b down,Turn happens between 7 and 8. Right stays on its non-native B circle instead of returning to A; left crosses A→B while right holds B.
8,180,C b up,C b up,
9,180,C b down,C b down,
10,180,R a up,L a up,
11,180,R a down,L a down,
12,180,C b up,C b up,
,,,,
"TO non-native unison → counter, turn left — left holds A / right prepares and holds B",,,,
0,0,C a up,C a up,
1,0,R b down,L b down,
2,0,R b up,L b up,
3,0,C a down,C a down,
4,0,C a up,C a up,
5,0,R b down,L b down,
6,0,R b up,L b up,
7,0,C a down,L b down,Turn happens between 7 and 8. Right stays on its non-native B circle instead of returning to A; left holds A and right holds B.
8,180,R a up,C b up,
9,180,R a down,C b down,
10,180,C b up,L a up,
11,180,C b down,L a down,
12,180,R a up,C b up,
,,,,
"TO non-native counter → unison, turn left — left crosses A→B / right holds B",,,,
0,0,C a up,L b up,
1,0,R b down,C a down,
2,0,R b up,C a up,
3,0,C a down,L b down,
4,0,C a up,L b up,
5,0,R b down,C a down,
6,0,R b up,C a up,
7,0,C a down,L b down,Turn happens between 7 and 8. Left crosses A→B; right holds B. The counter cycle already supplies the proposed A/B setup.
8,180,C b up,C b up,
9,180,C b down,C b down,
10,180,R a up,L a up,
11,180,R a down,L a down,
12,180,C b up,C b up,
,,,,
"TO non-native counter → counter, turn left — left holds A / right holds B",,,,
0,0,C a up,L b up,
1,0,R b down,C a down,
2,0,R b up,C a up,
3,0,C a down,L b down,
4,0,C a up,L b up,
5,0,R b down,C a down,
6,0,R b up,C a up,
7,0,C a down,L b down,Turn happens between 7 and 8. Left holds A; right holds B. The counter cycle already supplies the proposed A/B setup.
8,180,R a up,C b up,
9,180,R a down,C b down,
10,180,C b up,L a up,
11,180,C b down,L a down,
12,180,R a up,C b up,
,,,,
