TOGETHER-SAME LOW-NATIVE TURN-LEFT CASES — CANDIDATES,,,,
Status,UNVERIFIED — physically test and correct every bridge.,,,
Assumptions,Low native; both poi clockwise in the observer frame; facing 0 → 180; turn left over one halfbeat; timing never pauses.,,,
Scope,Reference direction only: the both-counterclockwise / turn-right mirror is not included in this batch.,,,
Hypothesis,Structural hypothesis: the verified SO chasing bridge matrix also applies to TS because the horizontal midpoint is together.,,,
,,,,
Chasing-1 reference,,C a up,C a up,Facing 180 reference: C b up / R a up.
Chasing-2 reference,,C a up,R b up,Facing 180 reference: C b up / C b up.
,,,,
t,facing,left,right,Body edge
"TS chasing-1 → chasing-1, turn left — left holds B / right holds A",,,,
0,0,C a up,C a up,
1,0,C a down,R b down,
2,0,L b up,R b up,
3,0,L b down,C a down,
4,0,C a up,C a up,
5,0,C a down,R b down,
6,0,L b up,R b up,
7,0,L b down,C a down,Turn happens between 7 and 8. Left holds B; right holds A. Open BA configuration.
8,180,C b up,R a up,
9,180,L a down,R a down,
10,180,L a up,C b up,
11,180,C b down,C b down,
12,180,C b up,R a up,
,,,,
"TS chasing-1 → chasing-2, turn left — left holds B / right crosses A→B",,,,
0,0,C a up,C a up,
1,0,C a down,R b down,
2,0,L b up,R b up,
3,0,L b down,C a down,
4,0,C a up,C a up,
5,0,C a down,R b down,
6,0,L b up,R b up,
7,0,L b down,C a down,Turn happens between 7 and 8. Left holds B; right crosses A→B.
8,180,C b up,C b up,
9,180,L a down,C b down,
10,180,L a up,R a up,
11,180,C b down,R a down,
12,180,C b up,C b up,
,,,,
"TS chasing-2 → chasing-1, turn left — left crosses A→B / right holds A",,,,
0,0,L b up,C a up,
1,0,L b down,R b down,
2,0,C a up,R b up,
3,0,C a down,C a down,
4,0,L b up,C a up,
5,0,L b down,R b down,
6,0,C a up,R b up,
7,0,C a down,C a down,Turn happens between 7 and 8. Left crosses A→B; right holds A.
8,180,C b up,R a up,
9,180,L a down,R a down,
10,180,L a up,C b up,
11,180,C b down,C b down,
12,180,C b up,R a up,
,,,,
"TS chasing-2 → chasing-2, turn left — both cross A→B",,,,
0,0,L b up,C a up,
1,0,L b down,R b down,
2,0,C a up,R b up,
3,0,C a down,C a down,
4,0,L b up,C a up,
5,0,L b down,R b down,
6,0,C a up,R b up,
7,0,C a down,C a down,Turn happens between 7 and 8. Both cross A→B through the same left gate at the shared horizontal midpoint.
8,180,C b up,C b up,
9,180,L a down,C b down,
10,180,L a up,R a up,
11,180,C b down,R a down,
12,180,C b up,C b up,
,,,,
