batch_id,case_id,route_id,step,facing,region,left_node,right_node,left_anchor_body,right_anchor_body,left_anchor_observer,right_anchor_observer,edge_kind,left_action,right_action,edge_model_status,provenance
low-weave-opposite-review-001,low-weave-opposite-review-001-01,low-reel-route-b7ae096f,0,0,source,C a down,C a up,-0.500 -0.350,-0.500 -0.350,-0.500 -0.350,-0.500 -0.350,source-cycle,reel-continuation,reel-continuation,valid,source-cycle
low-weave-opposite-review-001,low-weave-opposite-review-001-01,low-reel-route-b7ae096f,1,0,source,L b up,L b down,-0.500 -0.350,-0.500 -0.350,-0.500 -0.350,-0.500 -0.350,source-cycle,reel-continuation,reel-continuation,valid,source-cycle
low-weave-opposite-review-001,low-weave-opposite-review-001-01,low-reel-route-b7ae096f,2,0,source,L b down,L b up,-0.500 -0.350,-0.500 -0.350,-0.500 -0.350,-0.500 -0.350,source-cycle,reel-continuation,reel-continuation,valid,source-cycle
low-weave-opposite-review-001,low-weave-opposite-review-001-01,low-reel-route-b7ae096f,3,0,source,C a up,C a down,-0.500 -0.350,-0.500 -0.350,-0.500 -0.350,-0.500 -0.350,source-cycle,reel-continuation,reel-continuation,valid,source-cycle
low-weave-opposite-review-001,low-weave-opposite-review-001-01,low-reel-route-b7ae096f,4,0,source,C a down,C a up,-0.500 -0.350,-0.500 -0.350,-0.500 -0.350,-0.500 -0.350,body-turn,cross,cross,valid,turn-topology:left:left-cross:right-cross
low-weave-opposite-review-001,low-weave-opposite-review-001-01,low-reel-route-b7ae096f,5,180,target,C b up,C b down,-0.500 -0.350,-0.500 -0.350,0.500 -0.350,0.500 -0.350,target-cycle,reel-continuation,reel-continuation,valid,target-cycle
low-weave-opposite-review-001,low-weave-opposite-review-001-01,low-reel-route-b7ae096f,6,180,target,L a down,L a up,-0.500 -0.350,-0.500 -0.350,0.500 -0.350,0.500 -0.350,target-cycle,reel-continuation,reel-continuation,valid,target-cycle
low-weave-opposite-review-001,low-weave-opposite-review-001-01,low-reel-route-b7ae096f,7,180,target,L a up,L a down,-0.500 -0.350,-0.500 -0.350,0.500 -0.350,0.500 -0.350,target-cycle,reel-continuation,reel-continuation,valid,target-cycle
low-weave-opposite-review-001,low-weave-opposite-review-001-01,low-reel-route-b7ae096f,8,180,target,C b down,C b up,-0.500 -0.350,-0.500 -0.350,0.500 -0.350,0.500 -0.350,target-cycle,reel-continuation,reel-continuation,valid,target-cycle
low-weave-opposite-review-001,low-weave-opposite-review-001-01,low-reel-route-b7ae096f,9,180,target,C b up,C b down,-0.500 -0.350,-0.500 -0.350,0.500 -0.350,0.500 -0.350,,,,,
