batch_id,case_id,route_id,step,facing,region,left_node,right_node,left_anchor_body,right_anchor_body,left_anchor_observer,right_anchor_observer,edge_kind,left_action,right_action,edge_model_status,provenance
solver-review-001,solver-review-001-01,low-reel-route-b3729d5e,0,0,source,C a down,L b up,-0.500 -0.350,-0.500 -0.350,-0.500 -0.350,-0.500 -0.350,source-cycle,reel-continuation,reel-continuation,valid,source-cycle
solver-review-001,solver-review-001-01,low-reel-route-b3729d5e,1,0,source,L b up,L b down,-0.500 -0.350,-0.500 -0.350,-0.500 -0.350,-0.500 -0.350,source-cycle,reel-continuation,reel-continuation,valid,source-cycle
solver-review-001,solver-review-001-01,low-reel-route-b3729d5e,2,0,source,L b down,C a up,-0.500 -0.350,-0.500 -0.350,-0.500 -0.350,-0.500 -0.350,source-cycle,reel-continuation,reel-continuation,valid,source-cycle
solver-review-001,solver-review-001-01,low-reel-route-b3729d5e,3,0,source,C a up,C a down,-0.500 -0.350,-0.500 -0.350,-0.500 -0.350,-0.500 -0.350,source-cycle,reel-continuation,reel-continuation,valid,source-cycle
solver-review-001,solver-review-001-01,low-reel-route-b3729d5e,4,0,source,C a down,L b up,-0.500 -0.350,-0.500 -0.350,-0.500 -0.350,-0.500 -0.350,body-turn,cross,hold,valid,turn-topology:left:left-cross:right-hold
solver-review-001,solver-review-001-01,low-reel-route-b3729d5e,5,180,target,C b up,C b down,-0.500 -0.350,-0.500 -0.350,0.500 -0.350,0.500 -0.350,target-cycle,reel-continuation,reel-continuation,valid,target-cycle
solver-review-001,solver-review-001-01,low-reel-route-b3729d5e,6,180,target,L a down,C b up,-0.500 -0.350,-0.500 -0.350,0.500 -0.350,0.500 -0.350,target-cycle,reel-continuation,reel-continuation,valid,target-cycle
solver-review-001,solver-review-001-01,low-reel-route-b3729d5e,7,180,target,L a up,L a down,-0.500 -0.350,-0.500 -0.350,0.500 -0.350,0.500 -0.350,target-cycle,reel-continuation,reel-continuation,valid,target-cycle
solver-review-001,solver-review-001-01,low-reel-route-b3729d5e,8,180,target,C b down,L a up,-0.500 -0.350,-0.500 -0.350,0.500 -0.350,0.500 -0.350,target-cycle,reel-continuation,reel-continuation,valid,target-cycle
solver-review-001,solver-review-001-01,low-reel-route-b3729d5e,9,180,target,C b up,C b down,-0.500 -0.350,-0.500 -0.350,0.500 -0.350,0.500 -0.350,,,,,
solver-review-001,solver-review-001-02,low-reel-route-6ab03b1a,0,0,source,L b up,L b down,-0.500 -0.350,-0.500 -0.350,-0.500 -0.350,-0.500 -0.350,source-cycle,reel-continuation,reel-continuation,valid,source-cycle
solver-review-001,solver-review-001-02,low-reel-route-6ab03b1a,1,0,source,L b down,C a up,-0.500 -0.350,-0.500 -0.350,-0.500 -0.350,-0.500 -0.350,source-cycle,reel-continuation,reel-continuation,valid,source-cycle
solver-review-001,solver-review-001-02,low-reel-route-6ab03b1a,2,0,source,C a up,C a down,-0.500 -0.350,-0.500 -0.350,-0.500 -0.350,-0.500 -0.350,source-cycle,reel-continuation,reel-continuation,valid,source-cycle
solver-review-001,solver-review-001-02,low-reel-route-6ab03b1a,3,0,source,C a down,L b up,-0.500 -0.350,-0.500 -0.350,-0.500 -0.350,-0.500 -0.350,source-cycle,reel-continuation,reel-continuation,valid,source-cycle
solver-review-001,solver-review-001-02,low-reel-route-6ab03b1a,4,0,source,L b up,L b down,-0.500 -0.350,-0.500 -0.350,-0.500 -0.350,-0.500 -0.350,body-turn,cross,hold,valid,turn-topology:left:left-cross:right-hold
solver-review-001,solver-review-001-02,low-reel-route-6ab03b1a,5,180,target,L a down,C b up,-0.500 -0.350,-0.500 -0.350,0.500 -0.350,0.500 -0.350,target-cycle,reel-continuation,reel-continuation,valid,target-cycle
solver-review-001,solver-review-001-02,low-reel-route-6ab03b1a,6,180,target,L a up,L a down,-0.500 -0.350,-0.500 -0.350,0.500 -0.350,0.500 -0.350,target-cycle,reel-continuation,reel-continuation,valid,target-cycle
solver-review-001,solver-review-001-02,low-reel-route-6ab03b1a,7,180,target,C b down,L a up,-0.500 -0.350,-0.500 -0.350,0.500 -0.350,0.500 -0.350,target-cycle,reel-continuation,reel-continuation,valid,target-cycle
solver-review-001,solver-review-001-02,low-reel-route-6ab03b1a,8,180,target,C b up,C b down,-0.500 -0.350,-0.500 -0.350,0.500 -0.350,0.500 -0.350,target-cycle,reel-continuation,reel-continuation,valid,target-cycle
solver-review-001,solver-review-001-02,low-reel-route-6ab03b1a,9,180,target,L a down,C b up,-0.500 -0.350,-0.500 -0.350,0.500 -0.350,0.500 -0.350,,,,,
