,,,,
t,facing,Hand movements,,
"Right hand, inwards",,,,
0,0,C a up,,
1,0,C a down,,
2,0,R b up,,
3,0,R b down,,
,,,,
"Right hand, outwards, facing away",,,,
0,180,C b down,,
1,180,C b up,,
2,180,R a down,,
3,180,R a up,,
,,,,
"Right hand, low native, inwards, turning left, crosses",,,,
0,0,C a up,,
1,0,C a down,,
2,0,R b up,,
3,0,R b down,,
4,0,C a up,,
5,180,C b down,,
6,180,C b up,,
7,180,R a down,,
8,180,R a up,,
,,,,
"Right hand, low native, inwards, turning left, holds plane side a ",,,,
0,0,C a up,,
1,0,C a down,,
2,0,R b up,,
3,0,R b down,,
4,0,C a up,,
5,180,R a down,,
6,180,R a up,,
7,180,C b down,,
8,180,C b up,,
,,,,
"Right hand, low native, inwards, turning right, holds plane side b",,,,
0,0,C a up,,
1,0,C a down,,
2,0,R b up,,
3,0,R b down,,
4,180,C b up,,
5,180,R a down,,
6,180,R a up,,
7,180,C b down,,
,,,,
"Right hand, low native, inwards, turning right, turns through cross point",,,,
1,0,C a up,,
2,0,C a down,,
3,0,R b up,,
4,0,R b down,,
5,0,C a up,,
6,0,C a down,,
7,180,C b up,,
8,180,R a down,,
9,180,R a up,,
10,180,C b down,,
,,,,
"Right hand, low non native, inwards, turning left, turns through cross point",,,,
1,0,C a down,,
2,0,C a up,,
3,0,L b down,,
4,0,L b up,,
5,0,C a down,,
6,0,C a up,,
7,180,C b down,,
8,180,L a up,,
9,180,L a down,,
10,180,C b up,,
,,,,
"Right hand, low non native, inwards, turning left, turns through plane hold",,,,
1,0,C a down,,
2,0,C a up,,
3,0,L b down,,
4,0,L b up,,
5,0,C a down,,
6,0,C a up,,
7,0,L b down,,
8,180,C b up,,
9,180,C b down,,
10,180,L a up,,
11,180,L a down,,
,,,,
"Right hand, low non native, inwards, turning right, through cross point",,,,
1,0,C a down,,
2,0,C a up,,
3,0,L b down,,
4,0,L b up,,
5,0,C a down,,
6,180,C b up,,
7,180,C b down,,
8,180,L a up,,
9,180,L a down,,
,,,,
"Right hand, low non native, inwards, turning right, hold plane side a",,,,
1,0,C a down,,
2,0,C a up,,
3,0,L b down,,
4,0,L b up,,
5,0,C a down,,
6,180,L a up,,
7,180,L a down,,
8,180,C b up,,
9,180,C b down,,
,,,,
"Right hand, low back, inwards, turning right, turns through cross point",(Cb / Lb mean centre back / left low back),,,
1,0,Cb b down,,
2,0,Cb b up,,
3,0,Lb a down,,
4,0,Lb a up,,
5,0,Cb b down,,
6,180,Cb a up,,
7,180,Cb a down,,
8,180,Lb b up,,
9,180,Lb b down,,
,,,,
"Right hand, low back, inwards, turning right, turns holding",,,,
1,0,Cb b down,,
2,0,Cb b up,,
3,0,Lb a down,,
4,0,Lb a up,,
5,0,Cb b down,,
6,180,Lb b up,,
7,180,Lb b down,,
8,180,Cb a up,,
9,180,Cb a down,,
,,,,
"Right hand, low back, inwards, turning left, hold plane side a",,,,
1,0,Cb b down,,
2,0,Cb b up,,
3,0,Lb a down,,
4,0,Lb a up,,
5,180,Cb a down,,
6,180,Lb b up,,
7,180,Lb b down,,
8,180,Cb a up,,
9,180,Cb a down,,
,,,,
"Right hand, low back, inwards, turning left, crossing ",,,,
1,0,Cb b down,,
2,0,Cb b up,,
3,0,Lb a down,,
4,180,Lb b up,,
5,180,Lb b down,,
6,180,Cb a up,,
7,180,Cb a down,,
,,,,
,,,,
t,facing,Hand movements,,Body edge
"Right hand, low native, outwards, turning right, with poi, crosses",Corrected,,,
0,0,C a down,,
1,0,C a up,,
2,0,R b down,,
3,0,R b up,,
4,0,C a down,,
5,0,C a up,,"Turn happens between 5 to 6, it crosses down (outwards) as we turn Crosses A→B."
6,180,C b down,,
7,180,R a up,,
8,180,R a down,,
,,,,
"Right hand, low native, outwards, turning right, with poi, holds plane side b",Corrected,,,
0,0,C a down,,
1,0,C a up,,
2,0,R b down,,
3,0,R b up,,
4,0,C a down,,
5,0,C a up,,
6,0,R b down,,Turn happens between 6 and 7. Holds plane side B. Note this is just turning half a beat later than the prev. Doesn’t feel that different really.
7,180,C b up,,
8,180,C b down,,
9,180,R a up,,
10,180,R a down,,
,,,,
"Right hand, low native, outwards, turning left, against poi, holds plane side a",verified,,,
0,0,C a down,,
1,0,C a up,,
2,0,R b down,,
3,0,R b up,,
4,0,C a down,,
5,0,C a up,,Turn happens between 5 and 6. Holds plane side A.
6,180,R a down,,
7,180,C b up,,
8,180,C b down,,
9,180,R a up,,
10,180,R a down,,
,,,,
"Right hand, low native, outwards, turning left, against poi, crosses",Corrected,,,
0,0,C a down,,
1,0,C a up,,
2,0,R b down,,
3,0,R b up,,
4,0,C a down,,Turn happens between 4 and 5. Crosses A→B. Crosses up towards the left side. 
5,180,C b up,,
6,180,C b down,,
7,180,R a up,,
8,180,R a down,,
9,180,C b up,,
10,180,C b down,,
,,,,
"Right hand, low non native, outwards, turning right, with poi, crosses",Corrected,,,
0,0,C a down,,
1,0,L b up,,
2,0,L b down,,
3,0,C a up,,
4,180,C b down,,
5,180,C b up,,
6,180,L a down,,
7,180,L a up,,
8,180,C b down,,
9,180,C b up,,
,,,,
"Right hand, low non native, outwards, turning right, with poi, holds plane side a",verified,,,
0,0,C a down,,
1,0,L b up,,
2,0,L b down,,
3,0,C a up,,
4,0,C a down,,
5,0,L b up,,
6,0,L b down,,
7,0,C a up,,Turn happens between 7 and 8. Holds plane side A.
8,180,L a down,,
9,180,L a up,,
10,180,C b down,,
11,180,C b up,,
12,180,L a down,,
,,,,
"Right hand, low non native, outwards, turning left, against poi, crosses",Corrected,,,
0,0,C a down,,
1,0,L b up,,
2,0,L b down,,
3,0,C a up,,
4,0,C a down,,
5,0,L b up,,
6,0,L b down,,
7,0,C a up,,
8,0,C a down,,Turn happens between 8 and 9 Crosses A→B.
9,180,C b up,,
10,180,L a down,,
11,180,L a up,,
12,180,C b down,,
,,,,
"Right hand, low non native, outwards, turning left, against poi, holds plane side b",verified,,,
0,0,C a down,,
1,0,L b up,,
2,0,L b down,,
3,0,C a up,,
4,0,C a down,,
5,0,L b up,,Turn happens between 5 and 6. Holds plane side B.
6,180,C b down,,
7,180,C b up,,
8,180,L a down,,
9,180,L a up,,
10,180,C b down,,
,,,,
"Right hand, low back, outwards, turning left, against poi, crosses",Verified,,,
0,0,Cb b up,,
1,0,Cb b down,,
2,0,Lb a up,,
3,0,Lb a down,,
4,0,Cb b up,,Turn happens between 4 and 5. Crosses B→A.
5,180,Cb a down,,
6,180,Cb a up,,
7,180,Lb b down,,
8,180,Lb b up,,
9,180,Cb a down,,
,,,,
"Right hand, low back, outwards, turning left, against poi, holds plane side b",Corrected (holds b not a),,,
0,0,Cb b up,,
1,0,Cb b down,,
2,0,Lb a up,,
3,0,Lb a down,,
4,0,Cb b up,,
5,180,Lb b down,,"Turn happens between 4 and 5, holding plane side b."
6,180,Lb b up,,
7,180,Cb a down,,
8,180,Cb a up,,
,,,,
,,,,
,,,,
,,,,
"Right hand, low back, outwards, turning right, with poi, holds plane side a",Corrected,,,
0,0,Cb b up,,
1,0,Cb b down,,
2,0,Lb a up,,
3,0,Lb a down,,
4,0,Cb b up,,
5,0,Cb b down,,
6,0,Lb a up,,
7,180,Cb a down,,"Turn happens between 6 and 7, holding a"
8,180,Cb a up,,
9,180,Lb b down,,
10,180,Lb b up,,
,,,,
"Right hand, low back, outwards, turning right, with poi, crosses",Verified,,,
0,0,Cb b up,,
1,0,Cb b down,,
2,0,Lb a up,,
3,0,Lb a down,,
4,0,Cb b up,,
5,0,Cb b down,,
6,0,Lb a up,,Turn happens between 6 and 7. Crosses A→B.
7,180,Lb b down,,
8,180,Lb b up,,
9,180,Cb a down,,
10,180,Cb a up,,
11,180,Lb b down,,
,,,,
TO TWO-HAND CASES TO VERIFY,,,,
t,facing,left,right,Body edge
"TO unison → unison, turn left (previously verified)",Verified,,,
0,0,C a up,C a up,
1,0,C a down,C a down,
2,0,L b up,R b up,
3,0,L b down,R b down,
