SPLIT-OPPOSITE TURN-LEFT CASES — VERIFIED,,,,
Assumptions,Start inward at facing 0; finish outward at facing 180; low native reels; body turn takes one halfbeat.,,,
Chasing-1 reference,,C a up,C a down,At facing 180 the corresponding reference is C b up / R a down.
Chasing-2 reference,,C a up,R b down,At facing 180 the corresponding reference is C b up / C b down.
,,,,
t,facing,left,right,Body edge
"SO chasing-1 → chasing-1, turn left — left holds B / right holds A",,,,
0,0,C a up,C a down,
1,0,C a down,R b up,
2,0,L b up,R b down,
3,0,L b down,C a up,
4,0,C a up,C a down,
5,0,C a down,R b up,
6,0,L b up,R b down,
7,0,L b down,C a up,Turn happens between 7 and 8. Left holds B; right holds A. Open BA configuration.
8,180,C b up,R a down,
9,180,L a down,R a up,
10,180,L a up,C b down,
11,180,C b down,C b up,
12,180,C b up,R a down,
,,,,
"SO chasing-1 → chasing-2, turn left — left holds B / right crosses A→B",,,,
0,0,C a up,C a down,
1,0,C a down,R b up,
2,0,L b up,R b down,
3,0,L b down,C a up,
4,0,C a up,C a down,
5,0,C a down,R b up,
6,0,L b up,R b down,
7,0,L b down,C a up,Turn happens between 7 and 8. Left holds B; right crosses A→B.
8,180,C b up,C b down,
9,180,L a down,C b up,
10,180,L a up,R a down,
11,180,C b down,R a up,
12,180,C b up,C b down,
,,,,
"SO chasing-2 → chasing-1, turn left — left crosses A→B / right holds A",,,,
0,0,C a up,R b down,
1,0,C a down,C a up,
2,0,L b up,C a down,
3,0,L b down,R b up,
4,0,C a up,R b down,
5,0,C a down,C a up,Turn happens between 5 and 6. Left crosses A→B; right holds A.
6,180,C b up,R a down,
7,180,L a down,R a up,
8,180,L a up,C b down,
9,180,C b down,C b up,
10,180,C b up,R a down,
,,,,
"SO chasing-2 → chasing-2, turn left — both cross A→B",,,,
0,0,C a up,R b down,
1,0,C a down,C a up,
2,0,L b up,C a down,
3,0,L b down,R b up,
4,0,C a up,R b down,
5,0,C a down,C a up,Turn happens between 5 and 6. Left crosses A→B; right crosses A→B. Both crossings use the same left gate at the shared horizontal midpoint.
6,180,C b up,C b down,
7,180,L a down,C b up,
8,180,L a up,R a down,
9,180,C b down,R a up,
10,180,C b up,C b down,
