SPLIT-SAME LOW-NATIVE TURN-RIGHT CASES — VERIFIED,,,,
Status,VERIFIED — all four bridges were physically checked.,,,
Assumptions,Low native; both poi clockwise in the observer frame; facing 0 → 180; turn right over one halfbeat; timing never pauses.,,,
Scope,This is an independent clockwise turn-right derivation; it is not assumed to mirror the verified turn-left file.,,,
Finding,All four bridges are valid. Counter → counter is the normal/common SS right turn; the other transitions are legal but feel less natural.,,,
,,,,
Unison reference,,C a up,C a down,Facing 180 reference: C b down / C b up.
Counter reference,,C a up,R b down,Facing 180 reference: C b down / R a up.
,,,,
t,facing,left,right,Body edge
"SS unison → unison, turn right — left crosses A→B / right prepares and holds B",,,,
0,0,C a down,C a up,
1,0,L b up,R b down,
2,0,L b down,R b up,
3,0,C a up,C a down,
4,0,C a down,C a up,
5,0,L b up,R b down,
6,0,L b down,R b up,
7,0,C a up,R b down,Turn happens between 7 and 8. Right remains on B for one extra halfbeat; left crosses A→B while right holds B.
8,180,C b down,C b up,
9,180,C b up,C b down,
10,180,L a down,R a up,
11,180,L a up,R a down,
12,180,C b down,C b up,
,,,,
"SS unison → counter, turn right — left holds A / right prepares and holds B",,,,
0,0,C a down,C a up,
1,0,L b up,R b down,
2,0,L b down,R b up,
3,0,C a up,C a down,
4,0,C a down,C a up,
5,0,L b up,R b down,
6,0,L b down,R b up,
7,0,C a up,R b down,Turn happens between 7 and 8. Right remains on B for one extra halfbeat; left holds A and right holds B. Open A/B configuration.
8,180,L a down,C b up,
9,180,L a up,C b down,
10,180,C b down,R a up,
11,180,C b up,R a down,
12,180,L a down,C b up,
,,,,
"SS counter → unison, turn right — left crosses A→B / right holds B",,,,
0,0,C a down,R b up,
1,0,L b up,C a down,
2,0,L b down,C a up,
3,0,C a up,R b down,
4,0,C a down,R b up,
5,0,L b up,C a down,
6,0,L b down,C a up,
7,0,C a up,R b down,Turn happens between 7 and 8. Left crosses A→B; right holds B. The counter cycle already supplies the open A/B configuration.
8,180,C b down,C b up,
9,180,C b up,C b down,
10,180,L a down,R a up,
11,180,L a up,R a down,
12,180,C b down,C b up,
,,,,
"SS counter → counter, turn right — left holds A / right holds B",,,,
0,0,C a down,R b up,
1,0,L b up,C a down,
2,0,L b down,C a up,
3,0,C a up,R b down,
4,0,C a down,R b up,
5,0,L b up,C a down,
6,0,L b down,C a up,
7,0,C a up,R b down,Turn happens between 7 and 8. Left holds A; right holds B. The counter cycle already supplies the open A/B configuration. Verified; this is the normal/common SS right turn.
8,180,L a down,C b up,
9,180,L a up,C b down,
10,180,C b down,R a up,
11,180,C b up,R a down,
12,180,L a down,C b up,
